episode,episode-rewards,num-steps
617,263.805505179885,61
618,331.204330258973,163
619,248.844385176203,76
620,333.800933832318,150
621,321.370958661906,187
622,-169.745994305811,49
623,310.315290728866,117
624,256.871700252514,93
625,378.793067255304,278
626,248.783549886946,54
627,307.226314594863,131
628,355.394962386231,191
629,278.592909023513,65
630,260.511609175861,142
631,-169.414013128413,81
632,279.379994487656,127
633,270.88427405253,74
634,249.826410151629,75
635,233.634309498616,54
636,288.067381383807,141
637,350.353259207829,189
638,289.374871736781,126
639,262.223677868702,85
640,285.197996211428,75
641,347.139406548226,246
642,293.485945970989,170
643,234.648223500127,56
644,335.536969194506,229
645,352.870303895897,260
646,290.207450580056,99
647,240.581521533549,28
648,249.11780858352,49
649,-112.83678365522,286
650,255.365234860621,47
651,299.30477175388,116
652,273.089180350315,128
653,287.915079170432,93
654,239.425544680078,80
655,268.320221696837,87
656,272.096162163231,95
657,325.508263589795,146
658,301.192838282578,128
659,339.964467398423,209
660,16.8886277171932,32
661,-119.129338200111,101
662,326.930679313551,192
663,273.896302558826,101
664,239.994622388638,41
665,230.650022443844,49
666,262.061207637323,68
667,261.175337912598,102
668,249.96821081065,66
669,291.010185303117,124
670,277.197400877915,70
671,342.169710014273,178
672,297.953674006512,115
673,305.967001661499,115
674,-157.593183649868,565
675,238.805770257407,63
676,338.901715891714,244
677,268.69819439051,94
678,361.330645192661,216
679,-165.059985372572,88
680,302.693130731718,177
681,296.705322411108,207
682,397.743398271096,251
683,250.448687400101,54
684,281.095122298895,101
685,252.454518578294,58
686,334.324001082913,154
687,271.351259621202,78
688,-144.586608776942,86
689,246.129072290265,40
690,367.613667748541,263
691,293.874226828557,108
692,318.91769057837,127
693,309.456022203144,116
694,286.296175807826,107
695,-133.431780480208,105
696,285.760152186338,124
697,227.012856137432,46
698,-160.288064703844,76
699,271.806164170167,93
700,286.44707325099,107
701,291.81332306757,85
702,378.404730580855,262
703,266.557450966043,85
704,367.146342505646,153
705,312.295819965923,145
706,227.000354395025,116
707,326.801661587324,149
708,290.881289125146,92
709,387.640398513878,255
710,282.466309615957,113
711,343.738086350951,242
712,279.789959161598,155
713,287.585325693222,108
714,-87.2724102573115,190
715,265.716400824322,70
716,318.010746739517,98
717,331.899273502859,147
718,245.196423221912,90
719,367.387577379413,195
720,343.056593681074,241
721,259.366022695127,49
722,263.514538799964,151
723,244.10984292714,38
724,298.302027493325,115
725,231.196729073062,39
726,-174.020503195893,38
727,245.694053369223,73
728,-201.5699087064,45
729,295.687710087251,125
730,248.937046311904,79
731,339.648654077691,126
732,253.187474172019,61
733,243.882096312171,53
734,268.20477401695,84
735,276.761750669945,119
736,403.891516502617,238
737,-152.779432168027,133
738,337.002515717011,131
739,351.686546067101,167
740,27.0085896159397,75
741,359.977644513459,222
742,319.25034829296,162
743,344.233027620708,252
744,308.071144558324,121
745,335.31412574487,130
746,314.136317588876,134
747,272.440347875563,102
748,370.502236754252,238
749,228.185489836789,48
750,296.140043332829,131
751,285.689323211201,90
752,253.042414614453,75
753,326.119716615659,95
754,319.232867164562,149
755,239.51095591218,68
756,262.565440080062,125
757,312.269581086816,187
758,300.878627478463,168
759,271.79349762905,58
760,308.394885187574,202
761,278.046422835094,84
762,255.088086213326,60
763,288.000329231782,105
764,347.845568910942,334
765,374.439348195083,236
766,319.58996875321,157
767,345.67785808771,361
768,273.855713412903,64
769,361.04140574259,244
770,256.768165655411,97
771,317.738024753618,243
772,335.392235408479,136
773,254.564843462302,71
774,275.519499669657,99
775,337.354811871304,168
776,283.245138881805,91
777,255.192203704977,52
778,329.131579941776,144
779,381.71909085053,316
780,253.438561482751,50
781,227.826054583812,23
782,246.434415013196,79
783,387.158946310015,355
784,-175.205413789798,42
785,234.735111473277,45
786,291.96313750458,122
787,399.172872249007,220
788,334.963385336578,129
789,262.175141068744,95
790,373.655163866818,162
791,295.779958533706,92
792,237.792205090703,37
793,302.678289859182,108
794,376.962015665417,326
795,301.127467116035,76
796,275.581974981759,98
797,266.427523700477,54
798,306.399549293605,123
799,267.83482012219,194
800,-114.107325731368,122
801,333.669229158794,139
802,299.222290355633,101
803,369.014719496499,178
804,261.960620456819,94
805,339.552605248841,154
806,-101.999124195452,254
807,314.600866455132,130
808,241.094069807783,65
809,328.017603209262,138
810,237.984941326616,55
811,382.712878506871,222
812,42.3560370248814,99
813,-134.883961442407,90
814,249.25160809051,69
815,269.448826059,73
816,320.156172865788,118
817,-147.067217056387,182
818,288.507533604296,157
819,254.083587314768,54
820,236.48250002905,39
821,269.366259847193,61
822,270.765585239947,106
823,326.414732944042,122
824,310.585251307408,198
825,289.942063615549,78
826,255.040673645518,48
827,271.418201360275,76
828,246.216892786837,69
829,233.410599132889,50
830,312.913060768169,135
831,292.75219676616,89
832,304.502257596922,90
833,231.204676974997,33
834,241.417330473175,59
835,261.53285099398,71
836,290.631797895453,122
837,341.623087972817,225
838,251.662910089862,43
839,363.089784384069,348
840,354.17966839173,151
841,277.440559549186,68
842,342.357232053494,142
843,-175.460995795039,117
844,297.163580987855,110
845,228.008771568984,52
846,250.953263865509,58
847,287.843913160156,172
848,275.665012987516,63
849,238.433933885859,87
850,262.227340124102,49
851,290.548737610795,83
852,264.765780261919,121
853,275.187051466552,83
854,296.022584757844,130
855,-180.673361090563,38
856,260.116331571252,68
857,242.12879877399,44
858,307.073355483092,113
859,300.361147458038,123
860,263.507291650834,112
861,225.828434470328,47
862,279.529259775239,71
863,287.813040275256,63
864,307.643747608551,121
865,-170.287738293525,59
866,309.45188474261,148
867,315.943277672518,112
868,260.420716494801,49
869,296.311467773067,114
870,269.810598406181,105
871,-118.948354277596,123
872,340.386660678552,195
873,384.521374514156,238
874,341.193173853336,163
875,277.753501100477,108
876,282.832415844499,70
877,374.392166964444,211
878,286.45771945302,79
879,339.889818177427,153
880,296.008687907737,129
881,306.272783130964,230
882,-179.91697447048,39
883,268.456013324846,74
884,336.25881600183,119
885,336.830959667925,483
886,229.693964438616,53
887,255.391223578796,54
888,271.162764053609,69
889,369.616138342681,194
890,361.253849778786,189
891,260.945430853772,57
892,270.01706474557,76
893,279.95611764868,90
894,266.876614244686,49
895,293.320782853837,140
896,267.264816957708,72
897,293.178038741988,95
898,339.941735560019,162
899,345.901708435655,206
900,310.574162325404,152
901,-176.669587436885,43
902,309.010753131245,95
903,59.4078425050337,112
904,315.567402843458,111
905,252.473939206714,76
906,254.852611335919,52
907,339.775705877879,173
908,250.253988101767,60
909,-129.835452669203,169
910,225.919198327777,36
911,-150.592183769599,75
912,312.083526894094,121
913,329.376743461441,214
914,248.648759813197,32
