model,episode,timeframes,totalrewards,success
epochs_20,3,15,-168.5,0
epochs_20,4,1000,3691.0,1
epochs_20,5,1000,3878.0,1
epochs_20,6,1000,3872.5,1
epochs_20,7,1000,3751.5,1
epochs_20,8,1000,3911.0,1
epochs_20,9,1000,4021.0,1
epochs_20,10,1000,3850.5,1
epochs_20,11,1000,3927.5,1
epochs_20,12,1000,3944.0,1
epochs_20,13,486,1526.5,0
epochs_20,14,1000,3603.0,1
epochs_20,15,185,406.5,0
epochs_20,16,1000,3867.0,1
epochs_20,17,1000,3878.0,1
epochs_20,18,1000,3922.0,1
epochs_20,19,1000,3933.0,1
epochs_20,20,1000,3839.5,1
epochs_20,21,1000,3894.5,1
epochs_20,22,1000,3977.0,1
epochs_20,23,1000,3867.0,1
epochs_20,24,1000,3944.0,1
epochs_20,25,1000,3746.0,1
epochs_20,26,1000,3839.5,1
epochs_20,27,286,878.5,0
epochs_20,28,995,3532.5,0
epochs_20,29,1000,4026.5,1
epochs_20,30,1000,3702.0,1
epochs_20,31,1000,3905.5,1
epochs_20,32,1000,3916.5,1
epochs_20,33,1000,3784.5,1
epochs_20,34,1000,3647.0,1
epochs_20,35,486,1554.0,0
epochs_20,36,1000,3812.0,1
epochs_20,37,1000,3960.5,1
epochs_20,38,1000,3746.0,1
epochs_20,39,1000,3850.5,1
epochs_20,40,1000,3757.0,1
epochs_20,41,818,3027.0,0
epochs_20,42,13,-178.5,0
epochs_20,43,1000,3982.5,1
epochs_20,44,1000,3845.0,1
epochs_20,45,1000,3977.0,1
epochs_20,46,1000,4065.0,1
epochs_20,47,718,2648.0,0
epochs_20,48,1000,3790.0,1
epochs_20,49,1000,3889.0,1
epochs_20,50,164,329.0,0
epochs_20,51,1000,3872.5,1
epochs_20,52,1000,3817.5,1
epochs_20,53,1000,3911.0,1
epochs_20,54,1000,4054.0,1
epochs_20,55,1000,3878.0,1
epochs_20,56,1000,3784.5,1
epochs_20,57,1000,3922.0,1
epochs_20,58,1000,3718.5,1
epochs_20,59,1000,3960.5,1
epochs_20,60,1000,3669.0,1
epochs_20,61,1000,4037.5,1
epochs_20,62,1000,3916.5,1
epochs_20,63,278,657.0,0
epochs_20,64,1000,3834.0,1
epochs_20,65,1000,3916.5,1
epochs_20,66,1000,3806.5,1
epochs_20,67,1000,3861.5,1
epochs_20,68,1000,3581.0,1
epochs_20,69,1000,4004.5,1
epochs_20,70,1000,3883.5,1
epochs_20,71,1000,4065.0,1
epochs_20,72,1000,3867.0,1
epochs_20,73,1000,3823.0,1
epochs_20,74,1000,3856.0,1
epochs_20,75,1000,4010.0,1
epochs_20,76,1000,3955.0,1
epochs_20,77,1000,3691.0,1
epochs_20,78,1000,3801.0,1
epochs_20,79,1000,4120.0,1
epochs_20,80,1000,3795.5,1
epochs_20,81,1000,3768.0,1
epochs_20,82,1000,3971.5,1
epochs_20,83,18,-159.0,0
epochs_20,84,1000,3757.0,1
epochs_20,85,1000,3911.0,1
epochs_20,86,1000,3779.0,1
epochs_20,87,1000,3691.0,1
epochs_20,88,1000,3927.5,1
epochs_20,89,1000,4076.0,1
epochs_20,90,1000,3977.0,1
epochs_20,91,1000,3625.0,1
epochs_20,92,1000,3971.5,1
epochs_20,93,1000,3724.0,1
epochs_20,94,1000,4021.0,1
epochs_20,95,1000,3845.0,1
epochs_20,96,1000,4010.0,1
epochs_20,97,1000,3619.5,1
epochs_20,98,1000,3971.5,1
epochs_20,99,1000,4043.0,1
epochs_20,100,1000,3801.0,1
epochs_50,101,1000,4125.5,1
epochs_50,102,1000,4131.0,1
epochs_50,103,1000,4142.0,1
epochs_50,104,1000,4076.0,1
epochs_50,105,1000,4087.0,1
epochs_50,106,1000,4125.5,1
epochs_50,107,429,1560.5,0
epochs_50,108,1000,4186.0,1
epochs_50,109,1000,4158.5,1
epochs_50,110,1000,4098.0,1
epochs_50,111,1000,4120.0,1
epochs_50,112,1000,4103.5,1
epochs_50,113,23,-205.5,0
epochs_50,114,413,1497.0,0
epochs_50,115,1000,4180.5,1
epochs_50,116,1000,4081.5,1
epochs_50,117,1000,4059.5,1
epochs_50,118,1000,4153.0,1
epochs_50,119,1000,4169.5,1
epochs_50,120,1000,4048.5,1
epochs_50,121,1000,4098.0,1
epochs_50,122,1000,4153.0,1
epochs_50,123,1000,4230.0,1
epochs_50,124,1000,4131.0,1
epochs_50,125,1000,4186.0,1
epochs_50,126,1000,4065.0,1
epochs_50,127,1000,4153.0,1
epochs_50,128,1000,4032.0,1
epochs_50,129,1000,4175.0,1
epochs_50,130,1000,4164.0,1
epochs_50,131,1000,4087.0,1
epochs_50,132,1000,4213.5,1
epochs_50,133,1000,4153.0,1
epochs_50,134,1000,4103.5,1
epochs_50,135,1000,4059.5,1
epochs_50,136,1000,4164.0,1
epochs_50,137,1000,4131.0,1
epochs_50,138,1000,4136.5,1
epochs_50,139,1000,4169.5,1
epochs_50,140,1000,4109.0,1
epochs_50,141,10,-177.0,0
epochs_50,142,1000,4131.0,1
epochs_50,143,1000,4164.0,1
epochs_50,144,997,3955.0,0
epochs_50,145,1000,4070.5,1
epochs_50,146,1000,4136.5,1
epochs_50,147,1000,4164.0,1
epochs_50,148,1000,4087.0,1
epochs_50,149,1000,4197.0,1
epochs_50,150,1000,4087.0,1
epochs_50,151,1000,4158.5,1
epochs_50,152,1000,4191.5,1
epochs_50,153,1000,4136.5,1
epochs_50,154,1000,4180.5,1
epochs_50,155,1000,4136.5,1
epochs_50,156,1000,4114.5,1
epochs_50,157,1000,4136.5,1
epochs_50,158,1000,4169.5,1
epochs_50,159,1000,4120.0,1
epochs_50,160,1000,4153.0,1
epochs_50,161,1000,4202.5,1
epochs_50,162,7,-170.0,0
epochs_50,163,1000,4180.5,1
epochs_50,164,20,-193.0,0
epochs_50,165,1000,4208.0,1
epochs_50,166,1000,4087.0,1
epochs_50,167,1000,4114.5,1
epochs_50,168,1000,4131.0,1
epochs_50,169,1000,4164.0,1
epochs_50,170,1000,4131.0,1
epochs_50,171,1000,4114.5,1
epochs_50,172,1000,4092.5,1
epochs_50,173,1000,4191.5,1
epochs_50,174,1000,4125.5,1
epochs_50,175,1000,4175.0,1
epochs_50,176,1000,4125.5,1
epochs_50,177,1000,4164.0,1
epochs_50,178,1000,4136.5,1
epochs_50,179,1000,4098.0,1
epochs_50,180,1000,4175.0,1
epochs_50,181,1000,4158.5,1
epochs_50,182,7,-170.0,0
epochs_50,183,1000,4153.0,1
epochs_50,184,1000,4136.5,1
epochs_50,185,1000,4158.5,1
epochs_50,186,696,2664.5,0
epochs_50,187,1000,4158.5,1
epochs_50,188,344,1229.0,0
epochs_50,189,1000,4103.5,1
epochs_50,190,1000,4175.0,1
epochs_50,191,1000,4202.5,1
epochs_50,192,1000,4230.0,1
epochs_50,193,1000,4230.0,1
epochs_50,194,1000,4197.0,1
epochs_50,195,1000,4048.5,1
epochs_50,196,1000,4164.0,1
epochs_50,197,19,-181.5,0
epochs_50,198,1000,4048.5,1
epochs_50,199,17,-164.0,0
epochs_50,200,1000,4120.0,1
epochs_40,101,1000,4125.5,1
epochs_40,102,1000,4098.0,1
epochs_40,103,1000,4065.0,1
epochs_40,104,1000,4131.0,1
epochs_40,105,1000,4120.0,1
epochs_40,106,1000,4131.0,1
epochs_40,107,1000,4131.0,1
epochs_40,108,1000,4142.0,1
epochs_40,109,1000,3916.5,1
epochs_40,110,1000,4087.0,1
epochs_40,111,1000,4037.5,1
epochs_40,112,1000,4076.0,1
epochs_40,113,1000,4076.0,1
epochs_40,114,7,-170.0,0
epochs_40,115,1000,4098.0,1
epochs_40,116,1000,4092.5,1
epochs_40,117,1000,4054.0,1
epochs_40,118,1000,4098.0,1
epochs_40,119,1000,4153.0,1
epochs_40,120,1000,4087.0,1
epochs_40,121,1000,4043.0,1
epochs_40,122,1000,4180.5,1
epochs_40,123,1000,4065.0,1
epochs_40,124,1000,4164.0,1
epochs_40,125,1000,4169.5,1
epochs_40,126,1000,4120.0,1
epochs_40,127,1000,4197.0,1
epochs_40,128,1000,3993.5,1
epochs_40,129,1000,4065.0,1
epochs_40,130,1000,4197.0,1
epochs_40,131,1000,4087.0,1
epochs_40,132,7,-170.0,0
epochs_40,133,1000,4219.0,1
epochs_40,134,1000,4098.0,1
epochs_40,135,1000,4158.5,1
epochs_40,136,1000,4092.5,1
epochs_40,137,1000,4087.0,1
epochs_40,138,1000,4032.0,1
epochs_40,139,1000,4087.0,1
epochs_40,140,1000,4087.0,1
epochs_40,141,1000,4169.5,1
epochs_40,142,1000,4114.5,1
epochs_40,143,1000,4125.5,1
epochs_40,144,1000,4059.5,1
epochs_40,145,1000,4164.0,1
epochs_40,146,1000,4136.5,1
epochs_40,147,1000,4131.0,1
epochs_40,148,1000,4125.5,1
epochs_40,149,1000,4059.5,1
epochs_40,150,1000,4114.5,1
epochs_40,151,1000,4092.5,1
epochs_40,152,1000,4164.0,1
epochs_40,153,1000,4065.0,1
epochs_40,154,1000,4114.5,1
epochs_40,155,1000,4186.0,1
epochs_40,156,1000,4103.5,1
epochs_40,157,1000,4065.0,1
epochs_40,158,1000,4037.5,1
epochs_40,159,1000,4131.0,1
epochs_40,160,1000,4136.5,1
epochs_40,161,1000,4098.0,1
epochs_40,162,1000,4175.0,1
epochs_40,163,1000,4087.0,1
epochs_40,164,1000,4026.5,1
epochs_40,165,1000,4087.0,1
epochs_40,166,1000,4114.5,1
epochs_40,167,1000,4125.5,1
epochs_40,168,1000,4087.0,1
epochs_40,169,1000,4125.5,1
epochs_40,170,1000,4136.5,1
epochs_40,171,1000,4004.5,1
epochs_40,172,1000,4065.0,1
epochs_40,173,1000,4081.5,1
epochs_40,174,1000,4142.0,1
